,score_diff,seconds_remaining,home_efg,away_efg,turnover_diff,home_rebound_rate,required_catchup_rate,home_team_season_off_rtg,home_team_season_def_rtg,home_team_season_win_pct,home_team_recent_off_rtg,home_team_recent_def_rtg,home_team_recent_win_pct,home_rest_days,home_is_home,away_team_season_off_rtg,away_team_season_def_rtg,away_team_season_win_pct,away_team_recent_off_rtg,away_team_recent_def_rtg,away_team_recent_win_pct,away_rest_days,away_is_home,home_roster_season_est_off_rating,home_roster_season_est_def_rating,home_roster_season_pie,home_roster_season_est_usg_pct,home_roster_recent_est_off_rating,home_roster_recent_est_def_rating,home_roster_recent_pie,home_roster_recent_est_usg_pct,away_roster_season_est_off_rating,away_roster_season_est_def_rating,away_roster_season_pie,away_roster_season_est_usg_pct,away_roster_recent_est_off_rating,away_roster_recent_est_def_rating,away_roster_recent_pie,away_roster_recent_est_usg_pct
home_roster_season_est_def_rating,0.012332902288468712,-0.011107505027174972,,,,,0.007434907601669762,0.5123520035877135,0.5516970226405116,0.11855529940015265,0.5133185293506823,0.5444821824155971,0.143786304291924,-0.07845208219951669,,0.4604441316629066,0.4734520469044603,0.12653512492637933,0.4561795382948831,0.46852212474233146,0.11814672300583479,-0.06577143797381531,,0.9184214204045628,1.0,0.7331837390273874,0.9466608299964799,0.904009598122268,0.992143077087929,0.7015934135300018,0.9454836989851599,0.5399609140306795,0.5429114170154788,0.514296982386204,0.5529059372056668,0.5329742140811164,0.5376698651169229,0.4963192401871156,0.5513730403730983
home_roster_season_pie,0.10194334187775601,-0.016691583780107554,,,,,0.007041440139885136,0.4812695396599217,0.4073667923034821,0.3476766320917415,0.4894966160619622,0.3988745512285072,0.37518113193872965,-0.03798590770313402,,0.3725206047288492,0.39522443218339387,0.06627100908136847,0.3764056577922074,0.394776838048955,0.06563748655185582,-0.047488379091624025,,0.8932456668066061,0.7331837390273874,1.0,0.8461363411626129,0.8875290672441797,0.7263914137772065,0.9753711722492904,0.8429741278159898,0.4447932783702763,0.4632730824223785,0.41674252899524167,0.4617747790063758,0.44393168899112545,0.46224919919953,0.4062893184455082,0.464298114987183
home_roster_season_est_usg_pct,0.03834297820056778,-0.006927086178343093,,,,,0.00719261460955505,0.5193205828465383,0.5260438697634663,0.20441295523015343,0.5213695530738268,0.5169161372071684,0.2331921762223631,-0.047565053135313326,,0.45562289120371763,0.47396115654271986,0.10600317325177457,0.4518338858041239,0.46958732127188796,0.09863932667571507,-0.04805822994333765,,0.932659745854144,0.9466608299964799,0.8461363411626129,1.0,0.9194175231320065,0.9360642051804646,0.8117614360217411,0.9922178550303249,0.5320461378416604,0.5431143772887139,0.50766830501142,0.552878162352998,0.5244224158107811,0.5367452992780114,0.48942251471955367,0.5506361051164991
home_roster_recent_est_off_rating,0.08964821987065184,-0.013465418441184608,,,,,0.004356268871091853,0.5355812990016319,0.4874698458459151,0.3137085985503832,0.5417311878294988,0.4794486786482727,0.34021265072109724,-0.06852704500556833,,0.43320640798797244,0.4559316452093913,0.08887815158003702,0.43602350268954426,0.4552404737934317,0.08364700407707187,-0.07104159058908767,,0.9894525366825847,0.904009598122268,0.8875290672441797,0.9194175231320065,1.0,0.9073338890197656,0.8794667532484614,0.9306482968411923,0.526273756465052,0.5458518939594558,0.488873825107472,0.5418117844421529,0.5286932804043157,0.5489012027849363,0.47659162876730515,0.5442042092095479
home_roster_recent_est_def_rating,0.009789902330449293,-0.011157613391906051,,,,,0.006055639835689996,0.5025726399732604,0.5379713729233765,0.12241441877668749,0.5030017134992777,0.5319036168398984,0.14378659479738068,-0.07648714903826696,,0.44960171804515586,0.46288742750045253,0.12327024321412212,0.4454170651717353,0.45800084589466117,0.11385860829363251,-0.06698695149137969,,0.9102956598668296,0.992143077087929,0.7263914137772065,0.9360642051804646,0.9073338890197656,1.0,0.6986198591761318,0.9447619124960017,0.5377357368036663,0.5410348977066425,0.5134663755583098,0.5513438470938002,0.5347715504891714,0.5392658045894227,0.4968860877512298,0.5516650980493616
home_roster_recent_pie,0.1176701002645256,-0.01747040257787355,,,,,0.01696189337452968,0.46988609641491774,0.38418662649863144,0.3724231128278546,0.479031301851108,0.3745588130018163,0.4038359029879411,-0.04565149158858921,,0.3594773191239483,0.38541058762972874,0.05196983609732971,0.36427555039857956,0.38564478237350974,0.052299053924437636,-0.05867698336971343,,0.8658069989395286,0.7015934135300018,0.9753711722492904,0.8117614360217411,0.8794667532484614,0.6986198591761318,1.0,0.8216784287843617,0.42751949356188396,0.4520548601807321,0.4057433450997718,0.45177268495298367,0.4328461749962898,0.45585834385393,0.3988003411744831,0.4558464814514607
home_roster_recent_est_usg_pct,0.04170243098866471,-0.007459597955759282,,,,,0.005249945234845015,0.5175026869948701,0.5191646245480984,0.21659388314553893,0.5193350482107155,0.5104080319086628,0.24231863211755003,-0.04966085183901511,,0.4506900730413464,0.4711399066574515,0.10046763379343844,0.4472365638587022,0.46656480176039994,0.09273519567126504,-0.05417967484203445,,0.9323178130880322,0.9454836989851599,0.8429741278159898,0.9922178550303249,0.9306482968411923,0.9447619124960017,0.8216784287843617,1.0,0.5357481225224855,0.5491373843698919,0.5125041883609974,0.5582677820033148,0.5310587651901622,0.5450846782517156,0.4954617725056516,0.5569663590695468
away_roster_season_est_off_rating,-0.05735351460366221,0.0009843750727464573,,,,,-0.0007645277163373694,0.41205955418942564,0.4402650746600809,0.09898681103534446,0.4156547546184465,0.4421709143707849,0.0935069383597119,-0.053082331496224544,,0.5538166602629951,0.5032034367868811,0.308570471458236,0.5594516697846078,0.49769183681838847,0.30741364888648504,-0.06741573562143106,,0.5310470622401527,0.5399609140306795,0.4447932783702763,0.5320461378416604,0.526273756465052,0.5377357368036663,0.42751949356188396,0.5357481225224855,1.0,0.9293814166615497,0.9036971846196609,0.9355753427469276,0.9895336333965982,0.9191410785856263,0.8796027156238481,0.9362520267702076
away_roster_season_est_def_rating,0.00524870666342722,-0.0019022306851361882,,,,,0.001950668339760806,0.43074054621588614,0.4518050656223627,0.13079542985580886,0.4358602534717994,0.45272914203130643,0.1298956045064877,-0.036154246997239695,,0.5142237816468487,0.5498229958843179,0.11325725833389162,0.5186296598133181,0.5457907151640247,0.116866516344411,-0.06483465069470622,,0.547088794684042,0.5429114170154788,0.4632730824223785,0.5431143772887139,0.5458518939594558,0.5410348977066425,0.4520548601807321,0.5491373843698919,0.9293814166615497,1.0,0.7713723672382513,0.9428174368674036,0.9158859851470683,0.9919168817553696,0.7368311927562763,0.9390445949375591
away_roster_season_pie,-0.08806791276522326,0.0010856476556606602,,,,,5.80846058246443e-05,0.36166440678356054,0.3861501078025547,0.08625188617222676,0.36327446896780885,0.3860733079805937,0.07932293516864362,-0.04463143525084485,,0.49248257167584214,0.40361763838170567,0.37479148728934225,0.4971486639449104,0.3955446738654751,0.375887664629359,-0.04161368043362865,,0.49134769481974144,0.514296982386204,0.41674252899524167,0.50766830501142,0.488873825107472,0.5134663755583098,0.4057433450997718,0.5125041883609974,0.9036971846196609,0.7713723672382513,1.0,0.887433693963626,0.8962038899394059,0.7623192431040926,0.972469779436246,0.8840368216217466
